agency_id,agency_name,agency_url,agency_timezone,agency_lang
1,PKP Intercity,https://www.bahn.de,Europe/Berlin,de
10,ZSSK,https://www.bahn.de,Europe/Berlin,de
11,SÜWEX,https://www.bahn.de,Europe/Berlin,de
12,DB Fernverkehr (Codesharing),https://www.bahn.de,Europe/Berlin,de
13,MAV,https://www.bahn.de,Europe/Berlin,de
14,HZPP,https://www.bahn.de,Europe/Berlin,de
2,Dänische Staatsbahnen,https://www.bahn.de,Europe/Berlin,de
3,Nederlandse Spoorwegen,https://www.bahn.de,Europe/Berlin,de
4,SNCF,https://www.bahn.de,Europe/Berlin,de
5,Österreichische Bundesbahnen,https://www.bahn.de,Europe/Berlin,de
6,DB Fernverkehr AG,https://www.bahn.de,Europe/Berlin,de
7,Ceske Drahy,https://www.bahn.de,Europe/Berlin,de
8,DB/SBB/TI Eurocity Milano,https://www.bahn.de,Europe/Berlin,de
9,SBB,https://www.bahn.de,Europe/Berlin,de
