service_id,exception_type,date
1,1,20231226
10,1,20240101
100,1,20231231
100,1,20240101
102,1,20231226
104,1,20231225
105,2,20231224
106,1,20231226
106,2,20231218
108,1,20231223
108,2,20231217
108,2,20231227
108,2,20231228
108,2,20231229
11,1,20231227
11,1,20231228
11,1,20240102
110,1,20231226
110,1,20240101
111,1,20240102
112,1,20240102
115,1,20240102
116,1,20231210
116,2,20231225
116,2,20231226
117,1,20240102
12,1,20231210
12,1,20231217
12,2,20231225
120,1,20231209
120,1,20231230
120,1,20231231
121,1,20231229
122,1,20240101
127,1,20231217
128,2,20231212
13,1,20231226
13,1,20240101
13,2,20231224
130,2,20231224
133,1,20231225
133,1,20231226
133,1,20240101
137,1,20231230
137,1,20240101
138,2,20231224
142,1,20231223
142,1,20231225
142,1,20231226
142,1,20240102
146,1,20240102
148,1,20231228
15,1,20231226
15,2,20231218
150,2,20231225
150,2,20231226
151,1,20231211
152,1,20231225
152,2,20231217
155,1,20231210
155,1,20231217
155,2,20231222
156,1,20231227
156,1,20231228
16,2,20231225
160,2,20231222
160,2,20231225
160,2,20231226
162,1,20231225
162,2,20231217
167,1,20231210
171,1,20231224
171,1,20240102
172,1,20231230
172,1,20231231
172,1,20240101
173,2,20231226
178,2,20231227
18,2,20231221
180,1,20231211
180,1,20231218
182,2,20231224
182,2,20231225
183,1,20231221
184,1,20231226
184,1,20240101
185,1,20231223
185,1,20231224
185,1,20240101
188,1,20231211
188,1,20231218
188,2,20231217
188,2,20231226
189,1,20231212
19,1,20231227
19,1,20231228
191,1,20240102
192,1,20231217
192,1,20231226
192,1,20231227
193,2,20240101
197,1,20231225
198,2,20231226
198,2,20231227
199,1,20231217
200,1,20231210
200,1,20231217
206,2,20231217
210,1,20231218
210,1,20231219
211,1,20231210
211,1,20231230
212,2,20231226
214,1,20231226
214,1,20240101
214,2,20231216
214,2,20231224
215,1,20231219
217,1,20231225
218,1,20231210
218,1,20231211
218,1,20231218
219,1,20231223
219,1,20231227
219,1,20231228
219,1,20231229
219,1,20231230
219,1,20240102
22,1,20240101
225,1,20231210
225,1,20231217
226,1,20231211
226,1,20231212
226,1,20231213
226,1,20231214
226,1,20231215
226,1,20231223
226,1,20231224
227,1,20231217
227,1,20231218
227,1,20231219
227,1,20231228
229,1,20231221
229,1,20231222
23,2,20231218
232,1,20231211
232,1,20231218
232,2,20231226
233,1,20231226
233,1,20231227
233,1,20231228
233,1,20231229
233,1,20240101
233,1,20240102
234,1,20231225
234,1,20240102
236,1,20231225
237,1,20231210
237,1,20240101
240,1,20231218
241,1,20231210
241,1,20231217
241,2,20231225
242,1,20231227
242,2,20231217
242,2,20231218
244,1,20231219
246,1,20240102
247,1,20231211
247,1,20231218
247,2,20231226
248,1,20231225
248,1,20240101
249,1,20231211
249,1,20231227
249,1,20240102
25,1,20240101
251,1,20231208
254,1,20231218
254,2,20231226
258,1,20231210
258,1,20231217
26,2,20231216
26,2,20231217
26,2,20240101
260,1,20231211
260,1,20231212
261,1,20231211
261,1,20231212
261,2,20231220
261,2,20231221
261,2,20231222
262,1,20231217
263,1,20231231
265,2,20231217
265,2,20231226
265,2,20240101
266,1,20231206
268,1,20240102
269,1,20231224
27,2,20231218
273,1,20231224
273,1,20231231
275,1,20231205
278,2,20231225
278,2,20231226
279,1,20231230
279,1,20231231
279,1,20240101
28,1,20231227
280,1,20231214
280,1,20231215
280,1,20231223
280,1,20231224
280,1,20231225
280,1,20231226
280,1,20231227
281,1,20231218
281,2,20231224
281,2,20231226
282,1,20231211
282,1,20231218
282,2,20231213
282,2,20231226
284,2,20231215
284,2,20231225
284,2,20231226
285,1,20231225
285,1,20240101
285,2,20231227
286,2,20231216
286,2,20231217
286,2,20231218
286,2,20231219
286,2,20231220
286,2,20231221
286,2,20231222
287,1,20231215
287,1,20231216
287,1,20231228
288,1,20231217
289,2,20240101
29,1,20231216
29,1,20231230
29,1,20231231
29,1,20240101
29,1,20240102
291,1,20231222
291,1,20231223
291,1,20240101
291,2,20231217
292,1,20231218
292,2,20231226
293,2,20231224
296,1,20231231
296,1,20240101
299,1,20231218
299,1,20231219
299,1,20231224
3,1,20231219
3,2,20231225
30,2,20231222
300,1,20231216
300,1,20231225
300,1,20231231
301,2,20231218
301,2,20231219
303,1,20231223
303,1,20240101
303,2,20231217
305,1,20231210
305,1,20231224
305,1,20240101
305,1,20240102
306,1,20231230
306,1,20240102
307,1,20240101
308,1,20240101
31,1,20231218
31,2,20231213
31,2,20231214
31,2,20231226
310,2,20231227
310,2,20231228
310,2,20231229
310,2,20231230
310,2,20231231
313,1,20231210
313,1,20231230
315,1,20231218
315,2,20231226
316,1,20240102
318,1,20231213
320,1,20231207
322,2,20231225
323,1,20231223
323,1,20231224
324,1,20231216
324,1,20231217
324,1,20231223
324,1,20231224
324,1,20231225
324,1,20231226
324,1,20231227
324,1,20231228
324,1,20231229
325,1,20231228
325,1,20231229
328,1,20231217
328,2,20231225
328,2,20231226
329,1,20231218
329,1,20231219
329,1,20231220
334,2,20231225
334,2,20231226
335,1,20231226
342,1,20231218
342,1,20231224
342,2,20231226
343,1,20231218
345,2,20231217
346,1,20231209
346,1,20231230
348,1,20231227
35,1,20231219
35,2,20231225
350,1,20240102
353,1,20231222
356,2,20231225
357,1,20231210
357,1,20231217
357,2,20231225
36,1,20231230
36,1,20240101
36,1,20240102
361,1,20231224
361,1,20231230
361,1,20231231
361,1,20240102
362,1,20231210
362,1,20231231
363,1,20231210
363,1,20231211
363,1,20231212
367,1,20231210
367,1,20231217
367,2,20231225
368,1,20231211
368,1,20231216
368,1,20231218
368,2,20231226
369,2,20231216
369,2,20231217
369,2,20231218
369,2,20231227
369,2,20231228
369,2,20231229
370,1,20231219
372,2,20231217
372,2,20231226
372,2,20240101
374,2,20231218
374,2,20231219
374,2,20231220
374,2,20231221
374,2,20231222
375,1,20240101
377,2,20231218
378,1,20231217
378,1,20231218
378,1,20231219
379,1,20231211
379,1,20231212
379,2,20231220
379,2,20231224
384,1,20231217
388,1,20231225
388,1,20231226
390,1,20231228
394,2,20231225
394,2,20231226
395,1,20231218
395,2,20231226
396,1,20231224
398,2,20231217
398,2,20231225
398,2,20231226
40,1,20231230
40,1,20231231
40,1,20240101
400,1,20231211
400,1,20231218
400,2,20231226
404,1,20231226
404,1,20240102
405,2,20231216
405,2,20231217
41,1,20231218
41,2,20231226
411,1,20231215
411,1,20231225
411,1,20231231
414,1,20231208
419,1,20231230
419,1,20231231
420,1,20231225
420,1,20240101
421,1,20231230
422,1,20231218
422,2,20231226
423,1,20231217
423,1,20240101
425,1,20231218
425,1,20231219
425,2,20231213
426,1,20231222
426,1,20240102
427,1,20231218
427,1,20231219
430,2,20231220
431,1,20231210
431,1,20231223
431,1,20231224
431,1,20240101
431,1,20240102
432,1,20231216
432,1,20231230
432,1,20231231
432,1,20240101
432,1,20240102
433,1,20231230
434,1,20231227
434,1,20231228
436,2,20231225
436,2,20231226
437,2,20231226
437,2,20231227
442,1,20231227
442,1,20240102
444,1,20231230
444,2,20231225
444,2,20231226
447,2,20231217
449,1,20231211
449,1,20231218
449,2,20231226
45,2,20231218
45,2,20231219
45,2,20231220
45,2,20231221
45,2,20231222
450,1,20231228
452,1,20231230
452,1,20231231
453,1,20231228
453,1,20231229
455,1,20231210
