stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
's-Hertogenbosch,,351617,51.69054,5.293723,1
's-Hertogenbosch,351617,545208,51.69054,5.293723,
Aachen Hbf,168299,270809,50.76794,6.090865,
Aachen Süd(Gr),,412112,50.731915,6.04541,1
Aachen Süd(Gr),412112,666257,50.731915,6.04541,
"Aachen, Hbf,Aachen",,168299,50.767723,6.092051,1
Aalen Hauptbahnhof,,473812,48.841602,10.096031,1
Aalen Hbf,473812,118809,48.841015,10.096271,
Aalen Hbf,473812,459324,48.84168,10.09613,
Aarhus,,484274,56.150074,10.204997,1
Aarhus,484274,576932,56.150074,10.204997,
Alfeld (Leine) Bahnhof,,193105,51.98114,9.81837,1
Alfeld(Leine),193105,464518,51.981373,9.818101,
Almelo,,624447,52.357285,6.654811,1
Almelo,624447,210619,52.357285,6.654811,
Altena (Westfalen),,161079,51.301826,7.668091,1
Altena(Westf),161079,174360,51.302013,7.668693,
Altena(Westf),161079,385091,51.301956,7.668576,
Altenbeken,,219289,51.766094,8.943016,1
Altenbeken,219289,518774,51.766296,8.94298,
Amersfoort Centraal,,128491,52.153465,5.373909,1
Amersfoort Centraal,128491,64451,52.153465,5.373909,
Amsterdam Centraal,,659306,52.37919,4.899431,1
Amsterdam Centraal,659306,519236,52.37919,4.899431,
Amstetten NÖ,,626727,48.121605,14.878112,1
Amstetten NÖ,626727,73539,48.121605,14.878112,
Andernach,496382,267761,50.434544,7.404839,
Andernach Bahnhof,,496382,50.434544,7.40484,1
Angermünde,451180,189069,53.015854,13.996267,
Angermünde,451180,463293,53.015793,13.995908,
Angermünde,451180,47414,53.01574,13.995672,
"Angermünde, Bahnhof",,451180,53.015823,13.995871,1
Anklam,487158,164104,53.8563,13.701554,
Anklam,487158,319272,53.85625,13.701518,
Anklam,487158,56483,53.856102,13.701827,
Anklam Bahnhof,,487158,53.855984,13.701563,1
Ansbach,,418939,49.29803,10.578246,1
Ansbach,418939,485896,49.29803,10.578239,
Apeldoorn,,3677,52.20943,5.968491,1
Apeldoorn,3677,626903,52.20943,5.968491,
Apolda,,665421,51.03094,11.526136,1
Apolda,665421,314894,51.03094,11.526136,
Arnhem Centraal,,247416,51.98478,5.901003,1
Arnhem Centraal,247416,481006,51.98478,5.901003,
Aschaffenburg Hbf,,542590,49.980556,9.1437,1
Aschaffenburg Hbf,542590,454975,49.980556,9.143697,
Attnang-Puchheim,,403786,48.012802,13.720719,1
Attnang-Puchheim,403786,236016,48.012802,13.720719,
Augsburg Hbf,,600697,48.36544,10.885569,1
Augsburg Hbf,600697,286257,48.36544,10.88557,
Augustfehn,,493288,53.220894,7.759622,1
Augustfehn,493288,104919,53.220943,7.759614,
Augustfehn,493288,554608,53.220844,7.75963,
Bad Bentheim,45932,15420,52.309853,7.157776,
Bad Bentheim,45932,536648,52.30978,7.157785,
Bad Bentheim Bahnhof,,45932,52.30953,7.158737,1
Bad Bentheim(Gr),,331338,52.3091,7.04016,1
Bad Bentheim(Gr),331338,492004,52.3091,7.04016,
Bad Bevensen,,538645,53.078247,10.574141,1
Bad Bevensen,538645,604174,53.07822,10.574081,
Bad Bevensen,538645,664226,53.078274,10.574201,
Bad Endorf,,545226,47.905067,12.301556,1
Bad Endorf,545226,667309,47.905067,12.301558,
Bad Gastein,,382791,47.111744,13.132456,1
Bad Gastein,382791,300307,47.111744,13.132456,
Bad Hersfeld,,432553,50.869633,9.716182,1
Bad Hersfeld,432553,207478,50.869633,9.716182,
Bad Hofgastein,,306104,47.195713,13.100939,1
Bad Hofgastein,306104,46011,47.195713,13.100939,
Bad Kleinen,581499,348921,53.766644,11.466456,
Bad Kleinen,581499,467166,53.766975,11.466925,
Bad Kleinen,581499,80664,53.766945,11.466213,
Bad Kleinen Bhf,,581499,53.76746,11.466429,1
Bad Nauheim,357390,609232,50.367695,8.749241,
Bad Nauheim Bahnhof,,357390,50.367798,8.748327,1
Bad Oeynhausen,294771,335512,52.205257,8.795962,
Bad Oeynhausen,294771,487796,52.205322,8.795944,
"Bad Oeynhausen, Bf/ZOB",,294771,52.205353,8.79916,1
Bad Schandau,108200,165931,50.91929,14.137538,
Bad Schandau,108200,32796,50.919315,14.137713,
Bad Schandau,108200,600717,50.91921,14.137704,
Bad Schandau Nationalparkbahnhof,,108200,50.91927,14.138099,1
Bad Zwischenahn,,213680,53.182568,8.002996,1
Bad Zwischenahn,213680,651266,53.182713,8.002593,
Baden-Baden,,665835,48.7902,8.191036,1
Baden-Baden,665835,207902,48.7903,8.190803,
Baden-Baden,665835,467600,48.790478,8.190417,
Baden-Baden,665835,55164,48.79032,8.190731,
Bamberg,,647650,49.90076,10.899484,1
Bamberg,647650,423349,49.90076,10.899489,
Basel Bad Bf,,574263,47.567287,7.607805,1
Basel Bad Bf,574263,99094,47.567287,7.607805,
Basel SBB,,232349,47.547405,7.589551,1
Basel SBB,232349,209888,47.547405,7.589551,
Bebra,,558191,50.969566,9.797788,1
Bebra,558191,548708,50.969566,9.797788,
Bensheim,638105,181102,49.68174,8.616901,
Bensheim,638105,252466,49.681328,8.616717,
Bensheim,638105,455874,49.681423,8.616721,
"Bensheim, Bahnhof",,638105,49.681805,8.616955,1
Bergen Bahnhof,,515195,54.420822,13.418737,1
Bergen auf Rügen,515195,214624,54.42034,13.417668,
Bergen auf Rügen,515195,330886,54.420414,13.417534,
Berlin Gesundbrunnen,169470,166052,52.548885,13.39039,
Berlin Gesundbrunnen,169470,218465,52.548386,13.390704,
Berlin Gesundbrunnen,169470,239896,52.548485,13.390691,
Berlin Gesundbrunnen,169470,312346,52.54869,13.390501,
Berlin Gesundbrunnen,169470,327254,52.548573,13.390519,
Berlin Gesundbrunnen,169470,377251,52.548794,13.3904,
Berlin Hbf,247157,385384,52.524788,13.369667,
Berlin Hbf,247157,431286,52.524967,13.369527,
Berlin Hbf,247157,651024,52.52507,13.369501,
Berlin Hbf,247157,85209,52.52488,13.369627,
Berlin Hbf (tief),247157,124064,52.525097,13.369321,
Berlin Hbf (tief),247157,133953,52.524998,13.369061,
