stop_name,stop_id,stop_lat,stop_lon
's-Hertogenbosch,351617,51.69054,5.293723
Aachen Süd,412112,50.731915,6.04541
Aachen,168299,50.767723,6.092051
Aalen,473812,48.841602,10.096031
Aarhus,484274,56.150074,10.204997
Alfeld,193105,51.98114,9.81837
Almelo,624447,52.357285,6.654811
Altena,161079,51.301826,7.668091
Altenbeken,219289,51.766094,8.943016
Amersfoort Centraal,128491,52.153465,5.373909
Amsterdam Centraal,659306,52.37919,4.899431
Amstetten NÖ,626727,48.121605,14.878112
Andernach,496382,50.434544,7.40484
Angermünde,451180,53.015823,13.995871
Anklam,487158,53.855984,13.701563
Ansbach,418939,49.29803,10.578246
Apeldoorn,3677,52.20943,5.968491
Apolda,665421,51.03094,11.526136
Arnhem Centraal,247416,51.98478,5.901003
Aschaffenburg,542590,49.980556,9.1437
Attnang-Puchheim,403786,48.012802,13.720719
Augsburg,600697,48.36544,10.885569
Augustfehn,493288,53.220894,7.759622
Bad Bentheim,45932,52.30953,7.158737
Bad Bentheim,331338,52.3091,7.04016
Bad Bevensen,538645,53.078247,10.574141
Bad Endorf,545226,47.905067,12.301556
Bad Gastein,382791,47.111744,13.132456
Bad Hersfeld,432553,50.869633,9.716182
Bad Hofgastein,306104,47.195713,13.100939
Bad Kleinen,581499,53.76746,11.466429
Bad Nauheim,357390,50.367798,8.748327
Bad Oeynhausen,294771,52.205353,8.79916
Bad Schandau Nationalpark,108200,50.91927,14.138099
Bad Zwischenahn,213680,53.182568,8.002996
Baden-Baden,665835,48.7902,8.191036
Bamberg,647650,49.90076,10.899484
Basel Bad Bf,574263,47.567287,7.607805
Basel SBB,232349,47.547405,7.589551
Bebra,558191,50.969566,9.797788
Bensheim,638105,49.681805,8.616955
Bergen,515195,54.420822,13.418737
Bern,393033,46.948833,7.439131
Biberach ZOB/,499157,48.101456,9.792795
Bielefeld,97293,52.02941,8.533339
Bingen,499509,49.96874,7.883543
Ostseebad Binz,197005,54.404823,13.600502
Bischofshofen,508162,47.41786,13.219888
Bitterfeld,38576,51.62286,12.316855
Bludenz,512482,47.154724,9.814564
Bochnia,460598,49.9773,20.430775
Bochum,159263,51.479465,7.223335
Bohumin,410642,49.90073,18.359444
Bologna Centrale,291438,44.50614,11.343411
Bolzano/Bozen,399932,46.496376,11.358791
Bondorf,338027,48.52327,8.827879
Bonn Bad Godesberg Bf,489018,50.68393,7.159555
Bonn Beuel Bf,19431,50.738476,7.127656
Bonn,409925,50.732006,7.097131
Boppard,625538,50.231403,7.586084
Borovnica,233677,45.921318,14.367972
Brandenburg,330861,52.400795,12.566036
Bratislava hl.st.,429397,48.15891,17.106466
Braunschweig,235290,52.252644,10.539547
Breclav,83163,48.7539,16.893236
Breclav,635627,48.71265,16.86837
Bregenz,555498,47.503002,9.739627
Bregenz Riedenburg,383065,47.49291,9.721313
Bremen,134687,53.083454,8.813719
Bremerhaven,368471,53.534832,8.599605
Bremerhaven-Lehe,356005,53.566425,8.600774
Brennero/Brenner,622878,47.002342,11.505426
Bressanone/Brixen,601820,46.709896,11.649764
Brig,638702,46.319424,7.988095
Brno hl.n.,582004,49.19054,16.612774
Bruchsal,549753,49.124924,8.590347
Bruck/Mur,487434,47.41383,15.279433
Bruxelles Midi,664323,50.835377,4.335694
Bruxelles-Nord,576754,50.860237,4.361454
Buchloe,396822,48.033722,10.716219
Budapest-Kelenföld,277523,47.464355,19.020456
Budapest-Keleti,368301,47.50038,19.085072
Budapest-Nyugati,82812,47.510708,19.057467
Bydgoszcz Glowna,193077,53.135113,17.991636
Böblingen,571109,48.687847,9.004533
Büchen,663050,53.47661,10.620907
Bünde,526456,52.20191,8.575767
Bützow,87677,53.837006,11.997513
Celle,327115,52.620457,10.062468
Ceska Trebova,472211,49.897324,16.446808
Chemnitz,208281,50.83963,12.930692
Chur,160304,46.853085,9.528938
Coburg,43162,50.262924,10.957326
Cottbus,464727,51.750984,14.324464
Crailsheim,124217,49.137913,10.06432
Czechowice-Dziedzice,202615,49.915104,19.00465
D-Flughafen Bf,241548,51.292088,6.786979
Dagebüll Kirche,614129,54.73058,8.729632
Dagebüll Mole,116460,54.73011,8.690239
Darmstadt,303932,49.871937,8.631143
Debica,596018,50.054417,21.405565
Decin hl.n.,339573,50.77325,14.200999
Deezbüll,136871,54.77697,8.818274
Delmenhorst,195196,53.05278,8.629879
Dessau,349579,51.839867,12.23494
Deventer,296600,52.257435,6.160506
Diepholz,487995,52.6046,8.380249
Dillenburg,466782,50.734905,8.294586
Doberlug-Kirchhain,159989,51.62061,13.564187
Dobova,391562,45.89839,15.655178
Dobova,440562,45.890633,15.680238
Domodossola,613718,46.11529,8.296239
Donaueschingen,329304,47.94753,8.499428
Donauwörth,456789,48.714024,10.771447
Dorfgastein,582137,47.23867,13.103062
Dornbirn,39140,47.41769,9.738808
Dortmund,109795,51.51689,7.459592
Dresden  Neustadt,582119,51.065426,13.740882
Dresden,508233,51.03993,13.732932
Duisburg,96179,51.430454,6.774528
Döbeln,187412,51.126686,13.09564
Düren,362952,50.809517,6.482451
Düsseldorf,37892,51.220253,6.792997
Eberswalde,446552,52.833683,13.79695
Eichenberg,220705,51.374825,9.921482
Eisenach,341533,50.976894,10.331974
Ellwangen,13079,48.964535,10.129762
Elsterwerda,57388,51.459805,13.516412
Elze/,28289,52.12058,9.746604
Emden Außenhafen,402359,53.344498,7.186394
Emden,322831,53.36925,7.195502
Emmerich,426779,51.901196,6.137652
Engen,608668,47.856007,8.772561
Erfurt,125835,50.97227,11.038131
Ergenzingen,336861,48.489594,8.809949
Erkelenz,266707,51.076595,6.321634
Erlangen,559425,49.595825,11.00164
Essen,110529,51.449734,7.012213
Esslingen,70967,48.73854,9.300582
Eutingen im Gäu,231342,48.47957,8.781643
Feldkirch,250137,47.24098,9.604102
Fieberbrunn,540123,47.49114,12.528944
Finnentrop Bf,612317,51.17316,7.964598
Fischen,561204,47.456596,10.271723
Flensburg,227897,54.774048,9.436687
Flensburg [Grenze],2284,54.814842,9.36324
Flensburg-Weiche,69245,54.757866,9.3995
Flughafen BER - Terminal 1-2,323870,52.364605,13.509874
Flughafen Wien,159510,48.120903,16.56307
Forbach,340751,49.189217,6.900258
Forbach,96343,49.21409,6.944314
Fortezza/Franzensfeste,111318,46.78872,11.610083
Frankfurt  Flughafen Fern,293816,50.053055,8.570224
Frankfurt  Flughafen Regional,291761,50.0512,8.571423
Frankfurt,627253,50.107155,8.663759
Frankfurt  Süd,452204,50.099327,8.686442
Frankfurt  West,511802,50.119446,8.639455
Frankfurt,261112,52.337204,14.546369
Frankfurt,630721,52.321175,14.576403
Fredericia st,57770,55.56809,9.738813
Freiberg,2592,50.90936,13.342219
Freiburg,629138,47.996616,7.840442
Freilassing,425604,47.836914,12.977197
Friedberg,30687,50.332745,8.761246
Friedrichsh. Stadt,555765,47.653057,9.473426
Fulda,169454,50.55492,9.683761
Fürth,370521,49.469707,10.989988
Garmisch-Partenkirchen,618338,47.491455,11.097014
Gdansk Glowny,569568,54.35552,18.643803
Gdansk Oliwa,325294,54.409893,18.571741
Gdansk Wrzeszcz,613720,54.38186,18.605434
Gdynia Glowna,415280,54.52084,18.529556
Geilenkirchen,655299,50.96104,6.124518
Geislingen,543957,48.619247,9.841808
Gelsenkirchen,412171,51.504925,7.102206
Gera,542743,50.88342,12.077098
Gießen,669762,50.579884,8.663799
Gliwice,393654,50.301105,18.677158
Glogow,361689,51.668957,16.079712
Gniezno,181649,52.52965,17.602184
Golling-Abtenau,194115,47.600574,13.164086
Gotha,279246,50.93905,10.712328
Graz,3240,47.072296,15.416437
Greifswald,24980,54.092926,13.370264
Györ,420058,47.68198,17.63479
Gäufelden,644550,48.559715,8.850103
Göppingen,149907,48.70012,9.652344
Göttingen,141402,51.53672,9.925875
Günzburg,582183,48.460564,10.27926
Gütersloh,333382,51.90694,8.385071
HER Wanne-Eickel,263630,51.53249,7.165502
Hagen,450095,51.361916,7.462413
Haiger,236238,50.74111,8.221986
Halle,252680,51.477512,11.987085
Hallein,619082,47.68517,13.099434
Hamburg-Bergedorf,248668,53.48985,10.205962
Hamburg-Dammtor,434523,53.560783,9.989403
Hamburg,414320,53.55275,10.007941
Hamburg-Altona,607768,53.55325,9.935405
Hamburg-Harburg,555774,53.456375,9.990947
Hamm,651850,51.678547,7.809172
Hanau,362603,50.121346,8.928415
Hannover,362786,52.37649,9.74107
Hausach,408938,48.284973,8.181514
Hegyeshalom,107136,47.913975,17.145296
Hegyeshalom,447331,47.93826,17.095844
Heide,307427,54.192932,9.101242
Heidelberg,593333,49.404316,8.676243
Heilbronn,2345,49.142925,9.207974
Helmstedt,480851,52.22207,11.010093
Hengelo,612878,52.261852,6.793726
Heppenheim,653362,49.641396,8.63343
Herborn,593571,50.68468,8.3083
Herford,57357,52.11961,8.663643
Hermsdorf-Klosterlausnitz,239820,50.90385,11.858619
Herrenberg,440777,48.59399,8.863302
Herzogenrath,102777,50.870914,6.094486
Hildesheim,303378,52.159668,9.952588
Hilversum,347235,52.22667,5.181399
Hochfilzen,418612,47.467712,12.626525
Hohenems,202896,47.364708,9.681001
Homburg,448705,49.328083,7.337035
Hopfgarten im Brixental,164493,47.455353,12.14918
Horb /ZOB,50157,48.441853,8.688892
Hornberg,245337,48.212,8.232997
Horsens st,181453,55.86279,9.8355
Hude,497628,53.10937,8.460953
Husum,170833,54.472034,9.056426
Hünfeld,111057,50.673237,9.762918
Ibbenbüren,430345,52.27675,7.721065
Ilirska Bistrica,197526,45.569275,14.236037
Immendingen,219231,47.93643,8.728768
Immenstadt,92713,47.559204,10.213997
Imst-Pitztal,477440,47.219074,10.76167
Ingolstadt,577263,48.74455,11.437341
Innsbruck,664361,47.26333,11.40051
Inowroclaw,348690,52.804947,18.24406
Interlaken Ost,645479,46.6905,7.869
Interlaken West,521034,46.68295,7.851366
Iselle transito,45069,46.27205,8.097801
Iserl.,63560,51.36308,7.618666
Itzehoe,278096,53.92408,9.510151
Jaroslaw,383909,50.01067,22.677896
Jena Paradies,40751,50.924854,11.587468
Jena West,425972,50.923286,11.57785
Jena-Göschwitz,27935,50.8838,11.593217
Jenbach,266903,47.388447,11.778454
